id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
1,50,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.937304
1,100,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.940886
1,200,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.940806
1,400,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,2,0.942587
2,50,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.947012
2,100,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.94834
2,200,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.938504
2,400,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.001,1,4,0.908994
7,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.959198
7,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.964623
7,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.959977
7,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,2,0.952555
8,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.932202
8,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.948229
8,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.93707
8,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,12,4,0.927659
9,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.956416
9,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.955109
9,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.942518
9,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,2,0.921415
10,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.936303
10,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.941656
10,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.931292
10,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,24,4,0.911204
11,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.956618
11,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.963959
11,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.948333
11,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,2,0.93445
12,50,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.906922
12,100,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.916704
12,200,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.912948
12,400,Generation,LSTM,solar_30k,Adam,MAE,0.001,36,4,0.941327
13,50,Generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.956285
13,100,Generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.96975
13,200,Generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.970786
13,400,Generation,GRU,solar_30k,Adam,MAE,0.001,12,2,0.961928
14,50,Generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.964071
14,100,Generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.965206
14,200,Generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.959484
14,400,Generation,GRU,solar_30k,Adam,MAE,0.001,12,4,0.949976
15,50,Generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.962482
15,100,Generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.969712
15,200,Generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.969219
15,400,Generation,GRU,solar_30k,Adam,MAE,0.001,24,2,0.94743
16,50,Generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.965435
16,100,Generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.968181
16,200,Generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.962903
16,400,Generation,GRU,solar_30k,Adam,MAE,0.001,24,4,0.9551
17,50,Generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.962499
17,100,Generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.966461
17,200,Generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.9665
17,400,Generation,GRU,solar_30k,Adam,MAE,0.001,36,2,0.950548
18,50,Generation,GRU,solar_30k,Adam,MAE,0.001,36,4,0.962587
18,100,Generation,GRU,solar_30k,Adam,MAE,0.001,36,4,0.970035
18,200,Generation,GRU,solar_30k,Adam,MAE,0.001,36,4,0.959578
18,400,Generation,GRU,solar_30k,Adam,MAE,0.001,36,4,0.959821
19,50,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,2,0.950258
19,100,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,2,0.952445
19,200,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,2,0.953559
19,400,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,2,0.952909
20,50,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,4,0.94875
20,100,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,4,0.951743
20,200,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,4,0.947829
20,400,Generation,FEEDFORWARD,solar_30k,Adam,MAE,0.0001,1,4,0.952396
25,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,2,0.920966
25,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,2,0.942473
25,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,2,0.958186
25,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,2,0.960925
26,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,4,0.928777
26,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,4,0.939421
26,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,4,0.944951
26,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,12,4,0.942147
27,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,2,0.92345
27,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,2,0.937659
27,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,2,0.943715
27,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,2,0.952913
28,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.854672
28,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.924267
28,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.926489
28,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.940899
29,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.919854
29,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.931361
29,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.940119
29,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.950751
30,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.885161
30,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.908862
30,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.907475
30,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.910662
31,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.929917
31,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.950046
31,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.955516
31,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.962419
32,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.929245
32,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.945512
32,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.95399
